date,game_code,game_time,game_status,lineup_status,team,team_code,player_type,player_id,name,batting_order,position,batting_hand,throwing_hand,role
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,67025,로하스,2,우익수,양타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79240,허경민,3,3루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64004,김민혁,4,좌익수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,78548,장성우,5,포수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,76313,황재균,6,1루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64504,오윤석,7,2루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64166,배정대,8,중견수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79402,김상수,9,유격수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,pitcher,55313,정현우,0,투수,,좌투,선발투수
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,52366,푸이그,1,좌익수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,50167,이주형,2,중견수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,54444,카디네스,3,우익수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,65357,송성문,4,2루수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,76267,최주환,5,1루수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,55397,전태현,6,지명타자,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,55393,여동욱,7,3루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,62332,김재현,8,포수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,78756,오선진,9,유격수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,pitcher,53613,윤영철,0,투수,,좌투,선발투수
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,66606,최원준,1,중견수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,55645,위즈덤,2,1루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,62947,나성범,3,우익수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,72443,최형우,4,지명타자,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78603,김선빈,5,2루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,63260,이우성,6,좌익수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,69727,변우혁,7,3루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78122,김태군,8,포수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,52667,윤도현,9,유격수,우타,,선발타자
